Date,GA,GA Title,Lecture Title,URL,Location
04/02/1904,88,On the Astral World and Devachan,The World of the Spirit or Devachan II,https://rsarchive.org/Lectures/GA088/English/SOL2022/19040204p01.html,Berlin
08/02/1904,266I,Esoteric Lessons 1904–1909,First Lecture,https://rsarchive.org/Lectures/GA266I/English/SOL2024/19040208p01.html,Berlin
09/02/1904,90a,Self-Knowledge and God-Knowledge I,On the Formation of the Cosmos,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040209p01.html,Berlin
11/02/1904,88,On the Astral World and Devachan,The World of the Spirit or Devachan III,https://rsarchive.org/Lectures/GA088/English/SOL2022/19040211p01.html,Berlin
15/02/1904,266I,Esoteric Lessons 1904–1909,Second Lecture,https://rsarchive.org/Lectures/GA266I/English/SOL2024/19040215p01.html,Berlin
15/02/1904,266I,Esoteric Lessons 1904–1909,Third Lecture,https://rsarchive.org/Lectures/GA266I/English/SOL2024/19040221p01.html,Berlin
16/02/1904,90a,Self-Knowledge and God-Knowledge I,The Development of Beings,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040216p01.html,Berlin
18/02/1904,90a,Self-Knowledge and God-Knowledge I,On Devachan,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040218p01.html,Berlin
21/02/1904,266I,Esoteric Lessons 1904–1909,Fourth Lecture,https://rsarchive.org/Lectures/GA266I/English/SOL2024/19040314p01.html,Berlin
22/02/1904,90a,Self-Knowledge and God-Knowledge I,The Mosaic Creation Story and the Rounds,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040222p01.html,Berlin
24/02/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Clara Smits in Düsseldorf,https://rsarchive.org/Lectures/GA264/English/SOL2025/07_19040224.html,Berlin
25/02/1904,88,On the Astral World and Devachan,The World of the Spirit or Devachan IV,https://rsarchive.org/Lectures/GA088/English/SOL2022/19040225p01.html,Berlin
26/02/1904,68a,The Essence of Christianity,"Theosophy, Buddhism, Spiritism",https://rsarchive.org/Lectures/GA068a/English/SOL2024/19040226p01.html,Weimar
28/02/1904,34,From the Contents of Esoteric Classes III: 1913–1914,Paul Asmus's Worldview,https://rsarchive.org/Articles/GA034/English/SOL2024/64_Paul_Asmus's_Worldview.html,
01/03/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,Theosophy and Modern Life,https://rsarchive.org/Articles/GA034/English/SOL2024/53_Theosophy_and_Modern_Life.html,
03/03/1904,90a,Self-Knowledge and God-Knowledge I,Microcosm and Macrocosm,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040303p01.html,Berlin
07/03/1904,52,Spiritual Teachings Concerning the Soul,Theosophy and Somnambulism,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040307p01.html,Berlin
08/03/1904,52,Spiritual Teachings Concerning the Soul,What Does Mankind of Today Find in Theosophy?,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040308p01.html,Berlin
11/03/1904,90a,Self-Knowledge and God-Knowledge I,On the Sattva State,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040311p01.html,Berlin
14/03/1904,266I,Esoteric Lessons 1904–1909,Notes on two Esoteric Lectures I,https://rsarchive.org/Lectures/GA266I/English/SOL2024/19051004e01.html,Berlin
16/03/1904,52,Spiritual Teachings Concerning the Soul,Theosophical Doctrine of the Soul I,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040316p01.html,Berlin
18/03/1904,89,Awareness—Life—Form,About the Cabbala,https://rsarchive.org/Lectures/GA089/English/CMP2001/19040318p01.html,Berlin
23/03/1904,52,Spiritual Teachings Concerning the Soul,Theosophical Doctrine of the Soul II,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040323p01.html,Berlin
25/03/1904,68a,The Essence of Christianity,Theosophy in the Gospels — An Easter Reflection,https://rsarchive.org/Lectures/GA068a/English/SOL2024/19040325p01.html,Weimar
28/03/1904,68b,"The Circular Flow of Man's Life within the World Of Sense, Soul And Spirit",Birth and Death in the Life of the Soul,https://rsarchive.org/Lectures/GA068b/English/SOL2024/19040328p01.html,Cologne
29/03/1904,68c,Goethe and the Present,Introduction to Goethe's Fairy Tale of the Green Snake and the Beautiful Lily,https://rsarchive.org/Lectures/GA068c/English/SOL2024/19040329p01.html,Berlin
30/03/1904,52,Spiritual Teachings Concerning the Soul,Theosophical Doctrine of the Soul III,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040330p01.html,Berlin
01/04/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,On the Representation of Personal Conviction,https://rsarchive.org/Articles/GA034/English/SOL2024/54_On_the_Representation_of_Personal_Conviction.html,
01/04/1904,90a,Self-Knowledge and God-Knowledge I,Genesis I,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040401p01.html,Berlin
04/04/1904,68c,The Story of the Green Serpent and the Beautiful Lily,Lecture One,https://rsarchive.org/Lectures/SerpLily/19040404p01.html,Berlin
04/04/1904,68c,Goethe and the Present,The Fairy Tale of the Green Snake and the Beautiful Lily,https://rsarchive.org/Lectures/GA068c/English/SOL2024/19040404p01.html,Berlin
08/04/1904,262,Correspondence with Marie Steiner 1901–1925,11. Letter to Marie von Sivers in Berlin,https://rsarchive.org/Lectures/GA262/English/SOL2025/19040408m.html,Stuttgart
08/04/1904,262,Correspondence with Marie Steiner 1901–1925,12. Letter to Rudolf Steiner in Stuttgart,https://rsarchive.org/Lectures/GA262/English/SOL2025/19040408r.html,Stuttgart
11/04/1904,262,Correspondence with Marie Steiner 1901–1925,13. Letter to Marie von Sivers in Berlin,https://rsarchive.org/Lectures/GA262/English/SOL2025/19040411.html,Munich
14/04/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Doris and Franz Paulus in Stuttgart,https://rsarchive.org/Lectures/GA264/English/SOL2025/08_19040414.html,Zurich
22/04/1904,68c,Goethe and the Present,Goethe as Theosophist,https://rsarchive.org/Lectures/GA068c/English/SOL2024/19040422p01.html,Munich
28/04/1904,52,Spiritual Teachings Concerning the Soul,What Do Intellectuals Make of Theosophy?,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040428p01.html,Berlin
29/04/1904,90a,Self-Knowledge and God-Knowledge I,Genesis II,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040429p01.html,Berlin
30/04/1904,34,From the Contents of Esoteric Classes III: 1913–1914,Notice of the Amsterdam Congress,https://rsarchive.org/Articles/GA034/English/SOL2024/80_Notice_of_the_Amsterdam_Congress.html,
01/05/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,The Human Aura,https://rsarchive.org/Articles/GA034/English/SOL2024/06_The_Human_Aura.html,
01/05/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,Materialism Overcome in Science,https://rsarchive.org/Articles/GA034/English/SOL2024/55_Materialism_Overcome_in_Science.html,
01/05/1904,34,From the Contents of Esoteric Classes III: 1913–1914,Swedenborg's Worldview,https://rsarchive.org/Articles/GA034/English/SOL2024/65_Swedenborg's_Worldview.html,
02/05/1904,90a,Self-Knowledge and God-Knowledge I,White Lotus Day,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040502p01.html,Berlin
14/05/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Doris and Franz Paulus in Stuttgart,https://rsarchive.org/Lectures/GA264/English/SOL2025/09_19040514.html,London
15/05/1904,90a,Self-Knowledge and God-Knowledge I,The Salvation of Humanity,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040515p01.html,Berlin
16/05/1904,68b,"The Circular Flow of Man's Life within the World Of Sense, Soul And Spirit","Birth and Death in the Life of the Soul, A View of the Theosophical Worldview",https://rsarchive.org/Lectures/GA068b/English/SOL2024/19040516p01.html,Hanover
18/05/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Mathilde Scholl in Cologne,https://rsarchive.org/Lectures/GA264/English/SOL2025/11_19040518.html,Berlin
21/05/1904,90a,Self-Knowledge and God-Knowledge I,On the Apocalypse I,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040521p01.html,Berlin
23/05/1904,93,The Temple Legend,Whitsuntide — Festival of the Liberation of the Human Spirit,https://rsarchive.org/Lectures/GA093/English/RSP1985/19040523p01.html,Berlin
26/05/1904,89,Theosophic/Esoteric Cosmology,Spiritual Cosmology,https://rsarchive.org/Lectures/GA089/English/SCR2001/19040526p01.html,Berlin
26/05/1904,89,Awareness—Life—Form,Theosophical Cosmology I,https://rsarchive.org/Lectures/GA089/English/CMP2001/19040526p01.html,Berlin
28/05/1904,90a,Self-Knowledge and God-Knowledge I,On the Significance of the Oldest Parts of the Old Testament,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040528p01.html,Berlin
30/05/1904,52,Spiritual Teachings Concerning the Soul,The History of Spiritism,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040530p01.html,Berlin
01/06/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,Essays by Camillo Schneider,https://rsarchive.org/Articles/GA034/English/SOL2024/58_Essays_by_Camillo_Schneider.html,
02/06/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,The Buddhist,https://rsarchive.org/Articles/GA034/English/SOL2024/59_The_Buddhist.html,
02/06/1904,89,Theosophic/Esoteric Cosmology,Esoteric Cosmology I,https://rsarchive.org/Lectures/GA089/English/SCR2001/19040602p01.html,Berlin
02/06/1904,89,Awareness—Life—Form,Theosophical Cosmology II,https://rsarchive.org/Lectures/GA089/English/CMP2001/19040602p01.html,Berlin
06/06/1904,52,Spiritual Teachings Concerning the Soul,The History of Hypnotism and Somnambulism,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040606p01.html,Berlin
09/06/1904,89,Theosophic/Esoteric Cosmology,Esoteric Cosmology II,https://rsarchive.org/Lectures/GA089/English/SCR2001/19040609p01.html,Berlin
09/06/1904,89,Awareness—Life—Form,Theosophical Cosmology III,https://rsarchive.org/Lectures/GA089/English/CMP2001/19040609p01.html,Berlin
10/06/1904,93,The Temple Legend,The Contrast between Cain and Abel,https://rsarchive.org/Lectures/GA093/English/RSP1985/19040610p01.html,Berlin
12/06/1904,90a,Self-Knowledge and God-Knowledge I,The Principle of Correlation,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040612p01.html,Berlin
13/06/1904,90a,Self-Knowledge and God-Knowledge I,The Concept of Objective Presence and Subjective Perception,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040613p01.html,Berlin
15/06/1904,90a,Self-Knowledge and God-Knowledge I,The Following Rounds,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040615p01.html,Berlin
16/06/1904,90a,Self-Knowledge and God-Knowledge I,The Main Law of All Round Evolution,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040616p01.html,Berlin
18/06/1904,90a,Self-Knowledge and God-Knowledge I,Reincarnation And Karma,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040618p01.html,Berlin
19/06/1904,250,The History of the German Section of the Theosophical Society 1902-1913,Theosophical Congress in Amsterdam,https://rsarchive.org/Lectures/GA250/English/SOL2024/19040619s01.html,Amsterdam
20/06/1904,90a,Self-Knowledge and God-Knowledge I,What Does Man Gain From Knowing His Past?,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040620p01.html,Berlin
20/06/1904,250,The History of the German Section of the Theosophical Society 1902-1913,Report on the Annual Conference in Amsterdam,https://rsarchive.org/Lectures/GA250/English/SOL2024/19040704s01.html,Berlin
21/06/1904,35,Mathematics and Occultism,Mathematics and Occultism,https://rsarchive.org/Articles/GA035/English/Singles/MatOcc.html,Amsterdam
22/06/1904,90a,Self-Knowledge and God-Knowledge I,Ways of Coming to Knowledge and Will,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040622p01.html,Berlin
24/06/1904,92,The Occult Truths of Old Myths and Legends,Good and Evil,https://rsarchive.org/Lectures/GA092/English/SOL2024/19040624p01.html,Berlin
25/06/1904,90a,Self-Knowledge and God-Knowledge I,"Differences in the Structure of the Spirit Between the Second Rama, Krishna and Buddha",https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040625p01.html,Berlin
26/06/1904,90a,Self-Knowledge and God-Knowledge I,On Atlantean Culture,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040626p01.html,Berlin
27/06/1904,90a,Self-Knowledge and God-Knowledge I,On Atlantis,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040627p01.html,Berlin
28/06/1904,90a,Self-Knowledge and God-Knowledge I,On Lemuria,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040628p01.html,Berlin
29/06/1904,90a,Self-Knowledge and God-Knowledge I,The Fifth Root Race: Fire,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040629p01.html,Berlin
30/06/1904,34,From the Contents of Esoteric Classes III: 1913–1914,The Adept's Book,https://rsarchive.org/Articles/GA034/English/SOL2024/66_The_Adept's_Book.html,
30/06/1904,34,From the Contents of Esoteric Classes III: 1913–1914,Theosophical Congress in Amsterdam,https://rsarchive.org/Articles/GA034/English/SOL2024/81_Theosophical_Congress_in_Amsterdam.html,
30/06/1904,90a,Self-Knowledge and God-Knowledge I,Planetary Chains,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040630p01.html,Berlin
30/06/1904,91,"Man, Nature and the Cosmos",The Consciousness Soul,https://rsarchive.org/Lectures/GA091/English/SOL2025/19050628p01.html,Berlin
01/07/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,A Remark,https://rsarchive.org/Articles/GA034/English/SOL2024/26_A_Remark.html,
01/07/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,Further Development of the Christian Religion,https://rsarchive.org/Articles/GA034/English/SOL2024/60_Further_Development_of_the_Christian_Religion.html,
01/07/1904,34,From the Contents of Esoteric Classes III: 1913–1914,Evaluation of Schelling,https://rsarchive.org/Articles/GA034/English/SOL2024/67_Evaluation_of_Schelling.html,
01/07/1904,90a,Self-Knowledge and God-Knowledge I,Noun and Verb,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040701p01.html,Berlin
01/07/1904,92,The Occult Truths of Old Myths and Legends,Reading the Akashic Records of Wolfram von Eschenbach,https://rsarchive.org/Lectures/GA092/English/SOL2024/19040701p01.html,Berlin
02/07/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,Is there Such a Thing as Chance,https://rsarchive.org/Articles/GA034/English/SOL2024/27_Is_there_Such_a_Thing_as_Chance.html,
02/07/1904,34,From the Contents of Esoteric Classes III: 1913–1914,On Plotinus's Philosophy,https://rsarchive.org/Articles/GA034/English/SOL2024/68_On_Plotinus's_Philosophy.html,
02/07/1904,89,Awareness—Life—Form,The Logoi,https://rsarchive.org/Lectures/GA089/English/CMP2001/GA089-PartII-05.html,Berlin
03/07/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,About Mental Illness,https://rsarchive.org/Articles/GA034/English/SOL2024/28_About_Mental_Illness.html,
03/07/1904,89,Awareness—Life—Form,Evolution and involution,https://rsarchive.org/Lectures/GA089/English/CMP2001/GA089-PartII-06.html,Berlin
04/07/1904,89,Awareness—Life—Form,"Existence [form], life and conscious awareness I",https://rsarchive.org/Lectures/GA089/English/CMP2001/GA089-PartII-07.html,Berlin
04/07/1904,264,"The History of the Esoteric School 1904–1914, Volume One",The Nature and Work of the Masters I,https://rsarchive.org/Lectures/GA264/English/SOL2025/53_19040709.html,Berlin
07/07/1904,89,Awareness—Life—Form,"Existence [form], life and conscious awareness II",https://rsarchive.org/Lectures/GA089/English/CMP2001/GA089-PartII-08.html,Berlin
08/07/1904,90a,Self-Knowledge and God-Knowledge I,The Universe From the Outside,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040708p01.html,Berlin
08/07/1904,92,The Occult Truths of Old Myths and Legends,Sacramentality Daedalus and Icarus,https://rsarchive.org/Lectures/GA092/English/SOL2024/19040708p01.html,Berlin
10/07/1904,90a,Self-Knowledge and God-Knowledge I,Further Development of our Planet,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040710p01.html,Berlin
11/07/1904,90a,Self-Knowledge and God-Knowledge I,Modern Biblical Research,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040711p01.html,Berlin
14/07/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Mathilde Scholl in Cologne,https://rsarchive.org/Lectures/GA264/English/SOL2025/12_19040714.html,Berlin
14/07/1904,264,"The History of the Esoteric School 1904–1914, Volume One",The Nature and Work of the Masters II,https://rsarchive.org/Lectures/GA264/English/SOL2025/54_19040714.html,Berlin
15/07/1904,92,The Occult Truths of Old Myths and Legends,Germanic Mythology,https://rsarchive.org/Lectures/GA092/English/SOL2024/19040715p01.html,Berlin
18/07/1904,90a,Self-Knowledge and God-Knowledge I,Occult Research on the Gospels,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040718p01.html,Berlin
19/07/1904,51,"Philosophy, History and Literature",On Roman History,https://rsarchive.org/Lectures/GA051/English/SOL2023/19040719c01.html,Berlin
22/07/1904,92,The Occult Truths of Old Myths and Legends,Reincarnation,https://rsarchive.org/Lectures/GA092/English/SOL2024/19040722p01.html,Berlin
25/07/1904,90a,Self-Knowledge and God-Knowledge I,The Gospels and Initiation,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040725p01.html,Berlin
26/07/1904,68a,The Essence of Christianity,The Relationship of the Germanic Peoples to Christianity,https://rsarchive.org/Lectures/GA068a/English/SOL2024/19040726p01.html,Berlin
26/07/1904,90a,Self-Knowledge and God-Knowledge I,An Overview of Our Development,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040726p01.html,Berlin
01/08/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,The Animal Soul and the Human Soul,https://rsarchive.org/Articles/GA034/English/SOL2024/29_Animal_Soul_and_the_Human_Soul_.html,
01/08/1904,34,From the Contents of Esoteric Classes III: 1913–1914,The Four Major Religions,https://rsarchive.org/Articles/GA034/English/SOL2024/70_The_Four_Major_Religions.html,
01/08/1904,34,From the Contents of Esoteric Classes III: 1913–1914,Annie Besant's Lectures in Germany,https://rsarchive.org/Articles/GA034/English/SOL2024/82_Annie_Besant's_Lectures_in_Germany.html,
02/08/1904,34,From the Contents of Esoteric Classes III: 1913–1914,Further Announcements,https://rsarchive.org/Articles/GA034/English/SOL2024/83_Further_Announcements.html,
02/08/1904,90a,Self-Knowledge and God-Knowledge I,Incarnation,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040802p01.html,Berlin
02/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Amalie Wagner in Hamburg,https://rsarchive.org/Lectures/GA264/English/SOL2025/13_19040802.html,Berlin
09/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Mathilde Scholl in Cologne,https://rsarchive.org/Lectures/GA264/English/SOL2025/14_19040809.html,Berlin
10/08/1904,90a,Self-Knowledge and God-Knowledge I,Outlook on the Next Rounds,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040810p01.html,Berlin
11/08/1904,90a,Self-Knowledge and God-Knowledge I,The Task of the Second Half of Development,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040811p01.html,Berlin
11/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Doris and Franz Paulus in Stuttgart,https://rsarchive.org/Lectures/GA264/English/SOL2025/15_19040811.html,Berlin
12/08/1904,90a,Self-Knowledge and God-Knowledge I,Where Does Evil Come From?,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040812p01.html,Berlin
12/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Horst von Henning in Weimar,https://rsarchive.org/Lectures/GA264/English/SOL2025/16_19040812.html,Berlin
12/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One","To Eliza von Moltke in Bankau, Upper Silesia",https://rsarchive.org/Lectures/GA264/English/SOL2025/17_19040812.html,Berlin
13/08/1904,90a,Self-Knowledge and God-Knowledge I,Ancient Wisdom,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040813p01.html,Berlin
14/08/1904,90a,Self-Knowledge and God-Knowledge I,"Essence, Perception, and Actions",https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040814p01.html,Berlin
14/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Michael Bauer in Nuremberg,https://rsarchive.org/Lectures/GA264/English/SOL2025/18_19040814.html,Berlin
16/08/1904,90a,Self-Knowledge and God-Knowledge I,On the Purpose and the Home of Man,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040816p01.html,Berlin
17/08/1904,91,Inner and Outer Evolution,On Meditation I,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040817p01.html,Graal
18/08/1904,91,Inner and Outer Evolution,On Meditation II,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040818p01.html,Graal
19/08/1904,91,Inner and Outer Evolution,Helpful Concepts for Understanding Ancient Legends and the New Testament,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040819p01.html,Graal
20/08/1904,91,Inner and Outer Evolution,Helpful Concepts for Understanding the New Testament,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040820p01.html,Graal
21/08/1904,91,Inner and Outer Evolution,Helpful Concepts for Understanding the Days of the Week,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040821p01.html,Graal
22/08/1904,91,Inner and Outer Evolution,"Form, Life, Consciousness",https://rsarchive.org/Lectures/GA091/English/SOL2024/19040822p01.html,Graal
23/08/1904,90a,Self-Knowledge and God-Knowledge I,The Structure of Man I,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040823p01.html,Berlin
25/08/1904,262,Correspondence with Marie Steiner 1901–1925,14. Letter to Marie von Sivers in Graal,https://rsarchive.org/Lectures/GA262/English/SOL2025/19040825.html,Berlin
26/08/1904,91,Inner and Outer Evolution,The Three Realms of Nature,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040826p01.html,Graal
27/08/1904,262,Correspondence with Marie Steiner 1901–1925,15. Letter to Marie von Sivers in Graal,https://rsarchive.org/Lectures/GA262/English/SOL2025/19040827.html,Berlin
27/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Mathilde Scholl in Cologne,https://rsarchive.org/Lectures/GA264/English/SOL2025/19_19040827.html,Berlin
29/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Mathilde Scholl in Cologne,https://rsarchive.org/Lectures/GA264/English/SOL2025/20_19040829.html,Berlin
29/08/1904,264,"The History of the Esoteric School 1904–1914, Volume One",To Günther Wagner in Lugano,https://rsarchive.org/Lectures/GA264/English/SOL2025/21_19040829.html,Berlin
30/08/1904,90a,Self-Knowledge and God-Knowledge I,The Structure of Man II,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040830p01.html,Berlin
30/08/1904,91,Inner and Outer Evolution,Evolution And Involution,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040830p01.html,Graal
31/08/1904,91,Inner and Outer Evolution,States of Consciousness,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040831p01.html,Berlin
01/09/1904,34,The Way of Initiation (1960 reprint),The Superphysical World and Its Gnosis,https://rsarchive.org/Books/GA010/English/HR1960/GA010a_c01.html,
01/09/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,How does Buddha's Teaching Relate to Theosophy,https://rsarchive.org/Articles/GA034/English/SOL2024/30_How_does_Buddha's_Teaching_Relate_to_Theosophy.html,
01/09/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,On Modern Scientific Beliefs,https://rsarchive.org/Articles/GA034/English/SOL2024/56_On_Modern_Scientific_Beliefs.html,
03/09/1904,91,Inner and Outer Evolution,Manas as Light and Love,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040903p01.html,Berlin
04/09/1904,91,Inner and Outer Evolution,Inner Evolution Since Lemurian Times,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040904p01.html,Berlin
05/09/1904,90a,Self-Knowledge and God-Knowledge I,The Realms,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040905p01.html,Berlin
05/09/1904,91,Inner and Outer Evolution,The Fall into the Material,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040905p01.html,Berlin
06/09/1904,91,Inner and Outer Evolution,From the Arhats to the Mahatmas,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040906p01.html,Berlin
08/09/1904,91,Inner and Outer Evolution,After the so-called Flood of Sin,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040908p01.html,Berlin
09/09/1904,90a,Self-Knowledge and God-Knowledge I,Medieval Wisdom,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040909p01.html,Berlin
10/09/1904,91,Inner and Outer Evolution,The Transition from the Atlantean Race to Our Own,https://rsarchive.org/Lectures/GA091/English/SOL2024/19040910p01.html,Berlin
12/09/1904,250,The History of the German Section of the Theosophical Society 1902-1913,"Theosophy, Science and Religion. Annie Besant",https://rsarchive.org/Lectures/GA250/English/SOL2024/19040912s01.html,Berlin
